1. MGI accession id	3. marker symbol	6. Entrez gene id
MGI:88529	Cs	12974
MGI:88537	Csk	12988
MGI:88540	Csn1s1	12990
MGI:88541	Csn2	12991
MGI:88542	Csn1s2a	12993
MGI:88543	Csnk2a1	12995
MGI:88544	Csnk2a1-ps1	667125
MGI:88545	Csnk2a1-ps	668993
MGI:88547	Csnk2a2	13000
MGI:88548	Csnk2b	13001
MGI:88549	Csrp1	13007
MGI:88554	Ctla2a	13024
MGI:88555	Ctla2b	13025
MGI:88556	Ctla4	12477
MGI:88557	Pcyt1a	13026
MGI:88558	Ctrl	109660
MGI:88559	Ctrb1	66473
MGI:88561	Ctsb	13030
MGI:88562	Ctsd	13033
MGI:88563	Ctsg	13035
MGI:88564	Ctsl	13039
MGI:88566	Ctxn1	330695
MGI:88568	Cux1	13047
MGI:88574	Cybb	13058
MGI:88578	Cycs	13063
MGI:88579	Cyct	13067
MGI:88582	Cyp11a1	13070
MGI:88583	Cyp11b1	110115
MGI:88584	Cyp11b2	13072
MGI:88586	Cyp17a1	13074
MGI:88587	Cyp19a1	13075
MGI:88588	Cyp1a1	13076
MGI:88589	Cyp1a2	13077
MGI:88590	Cyp1b1	13078
MGI:88591	Cyp21a1	13079
MGI:88593	Cyp24a1	13081
MGI:88594	Cyp27a1	104086
MGI:88596	Cyp2a4	13086
MGI:88597	Cyp2a5	13087
MGI:88598	Cyp2b10	13088
MGI:88599	Cyp2b13	13089
MGI:88600	Cyp2b9	13094
MGI:88602	Cyp2d10	13101
MGI:88603	Cyp2d11	545123
MGI:88604	Cyp2d12	380997
MGI:88605	Cyp2d13	68444
MGI:88606	Cyp2d9	13105
MGI:88607	Cyp2e1	13106
MGI:88608	Cyp2f2	13107
MGI:88609	Cyp3a11	13112
MGI:88610	Cyp3a13	13113
MGI:88611	Cyp4a10	13117
MGI:88612	Cyp4a12a	277753
MGI:88613	Cyr61	16007
MGI:88930	Reep3	28193
MGI:88931	Apon	28194
MGI:90168	Dcaf11	28199
MGI:90169	Dhrs4	28200
MGI:90673	D17H6S53E	114585
MGI:90675	Vars	22321
MGI:90676	Lsm2	27756
MGI:91842	D1Pas1	110957
MGI:91860	Dcaf8	98193
MGI:92356	Csde1	229663
MGI:92638	Serp1	28146
MGI:93830	Adipor2	68465
MGI:93882	Lrrc32	434215
MGI:94203	Nudt19	110959
MGI:94852	Oaf	102644
MGI:94859	Dao	13142
MGI:94860	Ppp1r1b	19049
MGI:94862	Slc6a3	13162
MGI:94864	Dbh	13166
MGI:94865	Dbi	13167
MGI:94866	Dbp	13170
MGI:94867	Dbx1	13172
MGI:94869	Dcc	13176
MGI:94871	Eci1	13177
MGI:94872	Dcn	13179
MGI:94873	Pcbd1	13180
MGI:94876	Ddc	13195
MGI:94881	Defa29	13218
MGI:94882	Defa2	100294660
MGI:94883	Defa3	13237
MGI:94885	Des	13346
MGI:94890	Dhfr	13361
MGI:94891	Dhh	13363
MGI:94893	Cyb5r3	109754
MGI:94896	Dio1	13370
MGI:94900	Dlk1	13386
MGI:94901	Dlx1	13390
MGI:94902	Dlx2	13392
MGI:94903	Dlx3	13393
MGI:94904	Dlx4	13394
MGI:94906	Dmpk	13400
MGI:94907	Dmwd	13401
MGI:94909	Dmd	13405
MGI:94910	Dmp1	13406
MGI:94912	Dnmt1	13433
MGI:94917	Dpep1	13479
MGI:94919	Dpp4	13482
MGI:94921	Dpp6	13483
MGI:94924	Drd2	13489
MGI:94925	Drd3	13490
MGI:94926	Drd4	13491
MGI:94927	Drd5	13492
MGI:94930	Dsg1a	13510
MGI:94941	Dvl1	13542
MGI:95048	Slc10a3	214601
MGI:95049	Ubl4a	27643
MGI:95275	Ebf1	13591
MGI:95276	Epha7	13841
MGI:95278	Epha2	13836
MGI:95281	Ect2	13605
MGI:95283	Edn1	13614
MGI:95284	Edn2	13615
MGI:95285	Edn3	13616
MGI:95286	Eed	13626
MGI:95288	Eef2	13629
MGI:95290	Egf	13645
MGI:95291	Klk1b22	13646
MGI:95293	Klk1b9	13648
MGI:95294	Egfr	13649
MGI:95295	Egr1	13653
MGI:95296	Egr2	13654
MGI:95298	Eif1a	13664
MGI:95299	Eif2s1	13665
MGI:95300	Eif2b4	13667
MGI:95301	Eif3a	13669
MGI:95303	Eif4a1	13681
MGI:95304	Eif4b	75705
MGI:95305	Eif4e	13684
MGI:95309	Eif5	217869
MGI:95314	Cela1	109901
MGI:95316	Cela2a	13706
MGI:95317	Eln	13717
MGI:95321	Emb	13723
MGI:95387	Emx1	13796
MGI:95388	Emx2	13797
MGI:95389	En1	13798
MGI:95390	En2	13799
MGI:95392	Eng	13805
MGI:95393	Eno1	13806
MGI:95394	Eno2	13807
MGI:95395	Eno3	13808
MGI:95401	Epb41	269587
MGI:95402	Epb42	13828
MGI:95403	Stom	13830
MGI:95405	Ephx1	13849
MGI:95407	Epo	13856
MGI:95408	Epor	13857
MGI:95410	Erbb2	13866
MGI:95411	Erbb3	13867
MGI:95412	Ercc1	13870
MGI:95413	Ercc2	13871
MGI:95414	Ercc3	13872
MGI:95415	Erg	13876
MGI:95420	Ces1c	13884
MGI:95421	Esd	13885
MGI:95432	Ces1e	13897
MGI:95453	Smarcad1	13990
MGI:95454	Etl4	208618
MGI:95455	Ets1	23871
MGI:95456	Ets2	23872
MGI:95457	Mecom	14013
MGI:95458	Evi2a	14017
MGI:95459	Zfp521	225207
MGI:95461	Evx1	14028
MGI:95462	Evx2	14029
MGI:95474	F8a	14070
MGI:95476	Fabp3	14077
MGI:95478	Fabp2	14079
MGI:95479	Fabp1	14080
MGI:95480	Fancc	14088
MGI:95481	Ptk2	14083
MGI:95482	Fah	14085
MGI:95484	Fas	14102
MGI:95485	Fasn	14104
MGI:95486	Fbl	14113
MGI:95487	Fbln1	14114
MGI:95488	Fbln2	14115
MGI:95489	Fbn1	14118
MGI:95490	Fbn2	14119
MGI:95491	Fbp2	14120
MGI:95492	Fbp1	14121
MGI:95494	Fcer1a	14125
MGI:95495	Ms4a2	14126
MGI:95496	Fcer1g	14127
MGI:95497	Fcer2a	14128
MGI:95498	Fcgr1	14129
MGI:95499	Fcgr2b	14130
MGI:95500	Fcgr3	14131
MGI:95513	Fech	14151
MGI:95514	Fes	14159
MGI:95515	Fgf1	14164
MGI:95516	Fgf2	14173
MGI:95517	Fgf3	14174
MGI:95518	Fgf4	14175
MGI:95519	Fgf5	14176
MGI:95520	Fgf6	14177
MGI:95521	Fgf7	14178
MGI:95522	Fgfr1	14182
MGI:95523	Fgfr2	14183
MGI:95524	Fgfr3	14184
MGI:95525	Fgfr4	14186
MGI:95526	Fgg	99571
MGI:95527	Fgr	14191
MGI:95530	Fh1	14194
MGI:95537	Ctgf	14219
MGI:95541	Fkbp1a	14225
MGI:95542	Fkbp2	14227
MGI:95543	Fkbp4	14228
MGI:95546	Foxs1	14239
MGI:95553	Flg	14246
MGI:95554	Fli1	14247
MGI:95556	Flna	192176
MGI:95557	Flnc	68794
MGI:95558	Flt1	14254
MGI:95559	Flt3	14255
MGI:95560	Flt3l	14256
MGI:95561	Flt4	14257
MGI:95564	Fmr1	14265
MGI:95566	Fn1	14268
MGI:95568	Folr1	14275
MGI:95569	Folr2	14276
MGI:95574	Fos	14281
MGI:95575	Fosb	14282
MGI:95576	Fpgs	14287
MGI:95582	Fshb	14308
MGI:95583	Fshr	14309
MGI:95585	Cidec	14311
MGI:95586	Fst	14313
MGI:95588	Fth1	14319
MGI:95589	Ftl1	14325
MGI:95590	Ftl2-ps	14337
MGI:95593	Fuca1	71665
MGI:95594	Fut4	14345
MGI:95595	Fv1	14349
MGI:95602	Fyn	14360
MGI:95606	Xrcc6	14375
MGI:95607	G6pc	14377
MGI:95609	Gaa	14387
MGI:95610	Gabpa	14390
MGI:95611	Gabpb1	14391
MGI:95612	Gabpb2	213054
MGI:95613	Gabra1	14394
MGI:95614	Gabra2	14395
MGI:95615	Gabra3	14396
MGI:95616	Gabra4	14397
MGI:95617	Gabra5	110886
MGI:95618	Gabra6	14399
MGI:95619	Gabrb1	14400
MGI:95620	Gabrb2	14401
MGI:95621	Gabrb3	14402
MGI:95622	Gabrd	14403
MGI:95623	Gabrg2	14406
MGI:95624	Gabrg3	14407
